customer_id,signup_date,city,acquisition_channel,age_group
546,2026-07-07,Kolkata,Influencer,23-27
547,2026-07-08,Pune,Referral,23-27
548,2026-07-08,Nagpur,Influencer,18-22
549,2026-07-08,Lucknow,Google Ads,18-22
550,2026-07-08,Nagpur,Instagram Ads,18-22
551,2026-07-09,Indore,Influencer,23-27
552,2026-07-09,Nagpur,Influencer,23-27
553,2026-07-10,Mumbai,Organic/Direct,23-27
554,2026-07-10,Kolkata,Instagram Ads,18-22
555,2026-07-11,Bengaluru,Influencer,23-27
556,2026-07-11,Bengaluru,Influencer,28-34
557,2026-07-11,Ahmedabad,Google Ads,23-27
558,2026-07-11,Indore,Influencer,23-27
559,2026-07-12,Bengaluru,Google Ads,28-34
560,2026-07-12,Mumbai,Instagram Ads,23-27
561,2026-07-12,Jaipur,Instagram Ads,23-27
562,2026-07-13,Pune,Organic/Direct,35+
563,2026-07-14,Nagpur,Referral,18-22
564,2026-07-15,Mumbai,Organic/Direct,23-27
565,2026-07-15,Nagpur,Influencer,18-22
566,2026-07-16,Pune,Influencer,18-22
567,2026-07-17,Nagpur,Instagram Ads,23-27
568,2026-07-17,Mumbai,Influencer,28-34
569,2026-07-17,Indore,Influencer,18-22
570,2026-07-19,Pune,Influencer,35+
571,2026-07-20,Indore,Instagram Ads,23-27
572,2026-07-20,Nagpur,Influencer,18-22
573,2026-07-20,Pune,Referral,28-34
574,2026-07-20,Pune,Organic/Direct,23-27
575,2026-07-20,Nagpur,Referral,18-22
576,2026-07-21,Mumbai,Google Ads,18-22
577,2026-07-21,Pune,Influencer,18-22
578,2026-07-21,Lucknow,Instagram Ads,23-27
579,2026-07-22,Ahmedabad,Instagram Ads,18-22
580,2026-07-23,Hyderabad,Referral,28-34
581,2026-07-23,Hyderabad,Organic/Direct,23-27
582,2026-07-23,Jaipur,Instagram Ads,18-22
583,2026-07-24,Nashik,Influencer,18-22
584,2026-07-24,Mumbai,Organic/Direct,23-27
585,2026-07-24,Indore,Influencer,23-27
586,2026-07-25,Nagpur,Google Ads,23-27
587,2026-07-26,Pune,Referral,18-22
588,2026-07-26,Ahmedabad,Organic/Direct,18-22
589,2026-07-26,Indore,Instagram Ads,18-22
590,2026-07-27,Nagpur,Instagram Ads,18-22
591,2026-07-27,Delhi,Referral,23-27
592,2026-07-28,Nashik,Google Ads,18-22
593,2026-07-28,Nashik,Referral,18-22
594,2026-07-29,Delhi,Instagram Ads,23-27
595,2026-07-29,Bengaluru,Organic/Direct,18-22
596,2026-07-31,Kolkata,Instagram Ads,18-22
597,2026-08-01,Nagpur,Influencer,28-34
598,2026-08-03,Nashik,Instagram Ads,23-27
599,2026-08-06,Jaipur,Referral,23-27
600,2026-08-06,Indore,Organic/Direct,28-34
601,2026-08-07,Hyderabad,Influencer,35+
602,2026-08-08,Hyderabad,Instagram Ads,28-34
603,2026-08-08,Mumbai,Influencer,23-27
604,2026-08-08,Delhi,Organic/Direct,23-27
605,2026-08-09,Pune,Influencer,18-22
606,2026-08-10,Nagpur,Google Ads,23-27
607,2026-08-10,Indore,Instagram Ads,23-27
608,2026-08-10,Nagpur,Influencer,28-34
609,2026-08-10,Nagpur,Instagram Ads,18-22
610,2026-08-11,Kolkata,Instagram Ads,18-22
611,2026-08-11,Kolkata,Organic/Direct,23-27
612,2026-08-11,Kolkata,Organic/Direct,35+
613,2026-08-11,Delhi,Influencer,35+
614,2026-08-11,Nagpur,Organic/Direct,23-27
615,2026-08-12,Jaipur,Influencer,23-27
616,2026-08-13,Ahmedabad,Instagram Ads,18-22
617,2026-08-14,Delhi,Influencer,28-34
618,2026-08-15,Pune,Referral,28-34
619,2026-08-15,Nagpur,Google Ads,18-22
620,2026-08-15,Bengaluru,Organic/Direct,28-34
621,2026-08-16,Delhi,Influencer,18-22
622,2026-08-16,Indore,Influencer,28-34
623,2026-08-17,Hyderabad,Influencer,18-22
624,2026-08-17,Kolkata,Influencer,23-27
625,2026-08-17,Indore,Organic/Direct,23-27
626,2026-08-18,Nagpur,Influencer,18-22
627,2026-08-19,Bengaluru,Organic/Direct,18-22
628,2026-08-20,Ahmedabad,Influencer,23-27
629,2026-08-21,Nagpur,Google Ads,23-27
630,2026-08-22,Mumbai,Organic/Direct,28-34
631,2026-08-22,Hyderabad,Instagram Ads,28-34
632,2026-08-23,Bengaluru,Instagram Ads,18-22
633,2026-08-23,Bengaluru,Instagram Ads,28-34
634,2026-08-24,Bengaluru,Influencer,23-27
635,2026-08-24,Nashik,Instagram Ads,18-22
636,2026-08-25,Kolkata,Instagram Ads,23-27
637,2026-08-25,Indore,Influencer,23-27
638,2026-08-25,Nagpur,Influencer,23-27
639,2026-08-26,Nashik,Organic/Direct,18-22
640,2026-08-26,Delhi,Google Ads,23-27
641,2026-08-28,Bengaluru,Instagram Ads,28-34
642,2026-08-29,Delhi,Influencer,28-34
643,2026-08-30,Nagpur,Instagram Ads,35+
644,2026-08-30,Nagpur,Google Ads,23-27
645,2026-08-30,Indore,Influencer,23-27
646,2026-08-30,Pune,Influencer,28-34
647,2026-08-30,Pune,Organic/Direct,18-22
648,2026-08-31,Kolkata,Instagram Ads,23-27
